,Shots,Goals,Takeaways,Hits,Blocked Shots,Giveaways,Missed Shots,Penalities,#Won Faceoffs,HoA_away,HoA_home,startRinkSide_left,startRinkSide_right
12323,10.0,1.0,3.0,10.0,2.0,2.0,1.0,0.0,12.0,0,1,1,0
12324,3.0,1.0,3.0,6.0,6.0,2.0,3.0,2.0,7.0,1,0,0,1
12325,7.0,0.0,1.0,11.0,4.0,0.0,1.0,2.0,6.0,0,1,0,1
12326,8.0,3.0,3.0,12.0,7.0,2.0,3.0,2.0,10.0,1,0,1,0
12327,12.0,0.0,1.0,9.0,2.0,4.0,3.0,3.0,12.0,0,1,1,0
12328,11.0,1.0,5.0,8.0,6.0,3.0,3.0,0.0,9.0,1,0,0,1
12329,6.0,0.0,2.0,7.0,4.0,3.0,3.0,0.0,13.0,0,1,0,1
12330,6.0,0.0,2.0,6.0,5.0,2.0,0.0,2.0,10.0,1,0,0,1
12331,6.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,10.0,0,1,0,1
12332,7.0,0.0,1.0,3.0,4.0,6.0,3.0,3.0,5.0,1,0,1,0
12333,10.0,0.0,1.0,10.0,5.0,2.0,5.0,1.0,11.0,0,1,1,0
12334,10.0,0.0,0.0,12.0,4.0,3.0,5.0,2.0,9.0,1,0,1,0
12335,6.0,0.0,2.0,9.0,9.0,4.0,3.0,3.0,8.0,0,1,1,0
12336,10.0,0.0,1.0,8.0,9.0,1.0,1.0,1.0,6.0,1,0,1,0
12337,16.0,1.0,3.0,9.0,2.0,4.0,3.0,0.0,9.0,0,1,1,0
12338,9.0,2.0,1.0,10.0,6.0,0.0,3.0,1.0,6.0,1,0,1,0
12339,8.0,0.0,6.0,11.0,3.0,2.0,1.0,3.0,13.0,0,1,1,0
12340,4.0,0.0,0.0,10.0,11.0,0.0,1.0,4.0,5.0,1,0,0,1
12341,11.0,0.0,2.0,4.0,5.0,1.0,8.0,0.0,10.0,0,1,0,1
12342,8.0,0.0,1.0,10.0,1.0,1.0,2.0,2.0,11.0,1,0,0,1
